run,dataset,preprocessing,backbone,transfer,regime,seed,trainable_params,wall_clock_s,auroc,accuracy,macro_f1,ece
pneumoniamnist_p0_lp_r10_s0,pneumoniamnist,p0,resnet50,lp,0.1,0,4098,39.03,0.8062842428227043,0.7580128205128205,0.708579858780739,0.07338627657065022
pneumoniamnist_p0_lp_r5_s1,pneumoniamnist,p0,resnet50,lp,0.05,1,4098,37.34,0.8131218496603112,0.7852564102564102,0.7541371158392435,0.13842678557221705
pneumoniamnist_p0_ft_r100_s2,pneumoniamnist,p0,resnet50,ft,1.0,2,23512130,387.79,0.9666885820731973,0.8557692307692307,0.8297356293960708,0.10063674148076618
pneumoniamnist_p0_ft_r5_s0,pneumoniamnist,p0,resnet50,ft,0.05,0,23512130,50.31,0.912962962962963,0.8365384615384616,0.8213399503722085,0.10291406101523304
pneumoniamnist_p0_lora_r100_s1,pneumoniamnist,p0,resnet50,lora,1.0,1,306178,552.92,0.9764738110891957,0.8733974358974359,0.8536928487690505,0.06981997669507294
pneumoniamnist_p0_lora_r10_s2,pneumoniamnist,p0,resnet50,lora,0.1,2,306178,183.87,0.9390477755862372,0.8141025641025641,0.7743162515745232,0.12538914745434737
pneumoniamnist_p_global_lp_r100_s0,pneumoniamnist,p_global,resnet50,lp,1.0,0,4098,495.62,0.9044049967126889,0.7996794871794872,0.7678675059149145,0.06181315686076114
pneumoniamnist_p_global_lp_r10_s1,pneumoniamnist,p_global,resnet50,lp,0.1,1,4098,108.18,0.8585470085470087,0.7900641025641025,0.7510590284651015,0.0624443470285489
pneumoniamnist_p_global_lp_r5_s2,pneumoniamnist,p_global,resnet50,lp,0.05,2,4098,82.32,0.8189184746877054,0.7548076923076923,0.7047199893606163,0.051039804537326844
pneumoniamnist_p_global_ft_r10_s0,pneumoniamnist,p_global,resnet50,ft,0.1,0,23512130,149.02,0.9535064650449266,0.9022435897435898,0.8923696823175129,0.07263366228494894
pneumoniamnist_p_global_ft_r5_s1,pneumoniamnist,p_global,resnet50,ft,0.05,1,23512130,41.63,0.947063335524874,0.8269230769230769,0.794456373218817,0.09255352683174303
pneumoniamnist_p_global_lora_r100_s2,pneumoniamnist,p_global,resnet50,lora,1.0,2,306178,598.82,0.9716140696909927,0.8733974358974359,0.8536928487690505,0.06813196484477087
pneumoniamnist_p_global_lora_r5_s0,pneumoniamnist,p_global,resnet50,lora,0.05,0,306178,134.69,0.9265998246767477,0.8541666666666666,0.8390909477323283,0.046784521582034944
pneumoniamnist_p_local_lp_r100_s1,pneumoniamnist,p_local,resnet50,lp,1.0,1,4098,232.93,0.8684089414858647,0.782051282051282,0.7387674690635966,0.04136803784431553
pneumoniamnist_p_local_lp_r10_s2,pneumoniamnist,p_local,resnet50,lp,0.1,2,4098,109.3,0.8414639491562569,0.7435897435897436,0.6754015215553677,0.060739480436612384
pneumoniamnist_p_local_ft_r100_s0,pneumoniamnist,p_local,resnet50,ft,1.0,0,23512130,578.71,0.9778161297392066,0.9166666666666666,0.9071258472247665,0.059085286962680325
pneumoniamnist_p_local_ft_r10_s1,pneumoniamnist,p_local,resnet50,ft,0.1,1,23512130,137.62,0.96385053692746,0.8782051282051282,0.859439465073268,0.09012952876778746
pneumoniamnist_p_local_ft_r5_s2,pneumoniamnist,p_local,resnet50,ft,0.05,2,23512130,58.86,0.9270710059171597,0.7708333333333334,0.7060162687339182,0.15552532453185472
pneumoniamnist_p_local_lora_r10_s0,pneumoniamnist,p_local,resnet50,lora,0.1,0,306178,196.26,0.955528161297392,0.8717948717948718,0.8550657314070702,0.06965504806393231
pneumoniamnist_p_local_lora_r5_s1,pneumoniamnist,p_local,resnet50,lora,0.05,1,306178,141.5,0.9165790050405435,0.8557692307692307,0.8373475132937129,0.07139754706086254
dermamnist_p0_lp_r100_s2,dermamnist,p0,resnet50,lp,1.0,2,14343,418.69,0.8658196354130007,0.713216957605985,0.34772749292906163,0.0373626246713938
dermamnist_p0_lp_r5_s0,dermamnist,p0,resnet50,lp,0.05,0,14343,134.78,0.7265925606964208,0.6743142144638404,0.15814009475206,0.037238957444925856
dermamnist_p0_ft_r100_s1,dermamnist,p0,resnet50,ft,1.0,1,23522375,406.74,0.9503721971382232,0.7875311720698255,0.5905238324180625,0.01757691157726279
dermamnist_p0_ft_r10_s2,dermamnist,p0,resnet50,ft,0.1,2,23522375,141.21,0.8867712087753745,0.7281795511221946,0.47004891278934335,0.13133589964257808
dermamnist_p0_lora_r100_s0,dermamnist,p0,resnet50,lora,1.0,0,316423,943.11,0.9490797811006015,0.7965087281795511,0.6075937443649014,0.03075099241109261
dermamnist_p0_lora_r10_s1,dermamnist,p0,resnet50,lora,0.1,1,316423,284.9,0.8854537276618822,0.7376558603491272,0.42008121117763253,0.035350557693519497
dermamnist_p0_lora_r5_s2,dermamnist,p0,resnet50,lora,0.05,2,316423,220.08,0.8107293468171984,0.6897755610972569,0.21520793705991156,0.03600307744637392
dermamnist_p_global_lp_r10_s0,dermamnist,p_global,resnet50,lp,0.1,0,14343,170.79,0.7383637873436946,0.6812967581047381,0.19913999694401893,0.017818477519432493
dermamnist_p_global_lp_r5_s1,dermamnist,p_global,resnet50,lp,0.05,1,14343,28.1,0.5709817191658475,0.6688279301745635,0.11461048673133627,0.19500789183036346
dermamnist_p_global_ft_r100_s2,dermamnist,p_global,resnet50,ft,1.0,2,23522375,687.33,0.9244654189953234,0.7650872817955112,0.5336982564665942,0.10075687669459128
dermamnist_p_global_ft_r5_s0,dermamnist,p_global,resnet50,ft,0.05,0,23522375,124.57,0.8070584110789379,0.6902743142144638,0.233355160214147,0.14073619699834888
dermamnist_p_global_lora_r100_s1,dermamnist,p_global,resnet50,lora,1.0,1,316423,1168.54,0.9170691877001832,0.7586034912718205,0.5016775834497088,0.051757496134598645
dermamnist_p_global_lora_r10_s2,dermamnist,p_global,resnet50,lora,0.1,2,316423,288.28,0.820350780167663,0.6912718204488778,0.28226108348671897,0.034443968519605614
dermamnist_p_local_lp_r100_s0,dermamnist,p_local,resnet50,lp,1.0,0,14343,499.2,0.8460060367812778,0.7216957605985037,0.32863543089735375,0.038235117803487984
dermamnist_p_local_lp_r10_s1,dermamnist,p_local,resnet50,lp,0.1,1,14343,183.62,0.7713666504688381,0.6922693266832918,0.21131698300453086,0.04562938457861207
dermamnist_p_local_lp_r5_s2,dermamnist,p_local,resnet50,lp,0.05,2,14343,148.74,0.7181067471902589,0.6887780548628429,0.18585969192209056,0.06389374666083186
dermamnist_p_local_ft_r10_s0,dermamnist,p_local,resnet50,ft,0.1,0,23522375,160.35,0.8717968146335874,0.7376558603491272,0.4203172729236156,0.11814183877441944
dermamnist_p_local_ft_r5_s1,dermamnist,p_local,resnet50,ft,0.05,1,23522375,173.74,0.8261697821654426,0.7002493765586035,0.38042557524364673,0.16197537644545634
